N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,
115,오뚜기,"599,000","6,000",-0.99%,"5,000","21,595","3,605",17.54,"5,694",18.69,7.79,
116,대웅,"36,750",0,0.00%,500,"21,367","58,142",6.93,"994,825",32.38,10.43,
117,휠라홀딩스,"33,750",50,+0.15%,"1,000","20,504","60,752",42.46,"210,945",8.96,23.81,
118,팬오션,"3,760",15,+0.40%,"1,000","20,100","534,569",11.10,"1,390,324",14.08,5.49,
119,한화,"26,100",50,-0.19%,"5,000","19,564","74,959",19.15,"365,263",21.73,2.09,
120,종근당,"174,500","1,500",+0.87%,"2,500","18,996","10,886",12.92,"138,345",31.18,11.94,
121,KODEX 단기채권,"102,455",0,0.00%,0,"18,623","18,177",3.30,"7,250",N/A,N/A,
122,포스코인터내셔널,"14,950",350,+2.40%,"5,000","18,445","123,375",16.53,"414,880",8.75,7.06,
123,한솔케미칼,"161,000","1,500",-0.92%,"5,000","18,185","11,295",30.11,"99,890",18.48,20.88,
124,BNK금융지주,"5,520",20,+0.36%,"5,000","17,992","325,935",47.47,"970,848",3.44,7.07,
125,현대엘리베이,"46,450",400,+0.87%,"5,000","17,814","38,351",25.91,"179,703",100.76,5.22,
126,LS ELECTRIC,"55,700",200,-0.36%,"5,000","16,710","30,000",16.24,"82,808",16.86,7.82,
127,LG생활건강우,"789,000","20,000",+2.60%,"5,000","16,567","2,100",88.10,"2,601",17.80,N/A,
128,DB하이텍,"36,800","2,100",+6.05%,"5,000","16,339","44,399",31.35,"2,492,274",11.41,17.40,
129,두산인프라코어,"7,750",40,-0.51%,"5,000","16,225","209,353",4.92,"2,865,499",7.90,11.59,
130,한올바이오파마,"30,100",0,0.00%,500,"15,724","52,241",6.25,"127,831",79.63,14.90,
131,메리츠화재,"13,600",150,+1.12%,500,"15,460","113,680",12.01,"307,462",4.68,12.80,
132,NHN,"78,800",100,+0.13%,500,"15,417","19,565",11.39,"129,504",80.57,0.78,
133,일양약품,"80,000","4,800",-5.66%,"2,500","15,269","19,086",8.41,"955,863",183.91,5.20,
134,효성,"72,400",100,+0.14%,"5,000","15,255","21,071",6.53,"59,791",20.12,4.25,
135,OCI,"63,800","1,800",-2.74%,"5,000","15,216","23,849",16.77,"375,775",-1.88,-26.20,
136,SK디스커버리,"79,800","1,500",-1.85%,"5,000","15,192","19,038",10.77,"1,026,248",6.77,11.52,
137,만도,"32,100",500,-1.53%,"1,000","15,073","46,957",24.97,"508,914",14.78,7.55,
138,F&F,"97,400","3,100",-3.08%,500,"15,000","15,400",10.33,"67,422",13.67,25.13,
139,TIGER 단기통안채,"100,640",10,+0.01%,0,"14,793","14,699",4.95,"4,697",N/A,N/A,
140,현대백화점,"63,100","1,700",-2.62%,"5,000","14,767","23,402",22.27,"358,081",9.47,4.64,
141,HDC현대산업개발,"22,400",300,-1.32%,"5,000","14,763","65,907",10.15,"407,806",2.63,20.30,
142,태영건설,"19,300",250,-1.28%,500,"14,745","76,400",7.70,"378,414",14.31,8.38,
143,씨에스윈드,"85,200",300,-0.35%,500,"14,727","17,286",8.60,"232,427",44.65,9.92,
144,KCC,"164,500","7,000",+4.44%,"5,000","14,618","8,886",13.79,"135,250",-3.32,-4.37,
145,대우건설,"3,510",105,-2.90%,"5,000","14,588","415,623",13.52,"2,312,773",6.82,8.80,
146,더블유게임즈,"78,500",600,-0.76%,500,"14,424","18,375",14.97,"109,047",12.42,18.93,
147,아이에스동서,"46,600",550,+1.19%,500,"14,396","30,893",5.21,"150,790",25.79,6.10,
148,두산솔루스,"46,950",650,-1.37%,100,"14,362","30,590",6.82,"517,653",104.10,N/A,
149,KG동부제철,"14,250",750,-5.00%,"5,000","14,251","100,009",0.15,"179,487",45.24,-7.44,
150,한화생명,"1,640",10,+0.61%,"5,000","14,244","868,530",7.80,"15,354,045",8.91,0.51,
151,한전KPS,"30,900",200,-0.64%,200,"13,905","45,000",16.15,"127,282",8.66,14.98,
152,현대로템,"16,100",50,+0.31%,"5,000","13,685","85,000",3.66,"3,199,922",-3.73,-37.93,
153,LS,"42,250",0,0.00%,"5,000","13,604","32,200",10.82,"153,421",-32.33,0.80,
154,한화에어로스페이스,"26,750",200,-0.74%,"5,000","13,544","50,630",15.60,"438,445",10.65,5.45,
155,녹십자홀딩스,"28,600",600,-2.05%,500,"13,450","47,028",7.36,"186,286",-635.56,0.37,
156,대웅제약,"116,000",500,-0.43%,"2,500","13,440","11,587",4.97,"98,100",79.89,4.34,
157,SK네트웍스,"5,410",40,+0.74%,"2,500","13,427","248,188",12.18,"552,877",-10.29,-5.85,
158,KODEX 삼성그룹,"8,090",90,+1.13%,0,"13,227","163,500",0.03,"378,624",N/A,N/A,
159,파미셀,"21,950",150,+0.69%,500,"13,161","59,959",6.92,"1,774,670",309.15,8.78,
160,현대미포조선,"32,800",300,-0.91%,"5,000","13,101","39,942",13.02,"157,690",17.56,2.31,
161,메리츠금융지주,"9,650",60,+0.63%,500,"12,932","134,011",7.91,"82,131",3.51,15.26,
162,롯데관광개발,"18,650",150,-0.80%,500,"12,920","69,276",6.76,"415,934",-48.82,-4.77,
163,한국테크놀로지그룹,"13,800",150,-1.08%,500,"12,837","93,020",8.17,"291,782",9.11,4.71,
164,지누스,"88,900","1,100",+1.25%,500,"12,808","14,407",18.15,"53,058",15.86,26.32,
165,현대위아,"47,050",350,+0.75%,"5,000","12,795","27,195",11.36,"494,522",10.85,1.80,
166,롯데정밀화학,"48,550",0,0.00%,"5,000","12,526","25,800",23.77,"146,981",7.34,11.73,
167,KODEX 종합채권(AA-이상)액티브,"111,065",50,+0.05%,0,"12,295","11,070",0.00,"5,101",N/A,N/A,
168,KODEX 200TR,"10,405",65,+0.63%,0,"12,049","115,800",20.03,"310,477",N/A,N/A,
169,한국콜마,"52,200",200,-0.38%,500,"11,944","22,881",25.83,"325,096",43.50,6.39,
170,영원무역,"26,700",50,-0.19%,500,"11,831","44,311",24.14,"131,027",6.65,9.82,
171,신세계인터내셔날,"165,000","7,000",+4.43%,"5,000","11,781","7,140",4.41,"166,416",21.10,12.98,
172,영진약품,"6,430",50,+0.78%,500,"11,760","182,893",4.75,"916,182",229.64,4.43,
173,KBSTAR 200,"32,565",265,+0.82%,0,"11,723","36,000",0.01,"179,010",N/A,N/A,
174,한화시스템,"10,550",100,-0.94%,"5,000","11,629","110,230",2.01,"688,736",14.94,8.15,
175,드림텍,"18,350",400,+2.23%,100,"11,391","62,075",29.52,"3,262,729",52.88,13.24,
176,이노션,"56,700","1,200",+2.16%,500,"11,340","20,000",29.20,"127,710",14.99,9.88,
177,코스맥스,"105,000","6,900",+7.03%,500,"10,552","10,050",20.42,"625,270",38.20,10.45,
178,KODEX 코스닥150 레버리지,"13,960",750,+5.68%,0,"10,233","73,300",0.75,"21,621,474",N/A,N/A,
179,KODEX 인버스,"5,280",40,-0.75%,0,"10,027","189,900",1.19,"18,434,259",N/A,N/A,
180,아시아나항공,"4,420",80,-1.78%,"5,000","9,867","223,235",6.09,"3,780,159",-0.73,-90.67,
181,코오롱인더,"36,400",200,-0.55%,"5,000","9,820","26,979",16.66,"150,417",6.25,1.58,
182,영풍,"524,000","9,000",-1.69%,"5,000","9,652","1,842",4.41,"6,347",3.90,7.40,
183,쿠쿠홈시스,"42,700",200,+0.47%,100,"9,581","22,437",4.16,"31,107",16.06,16.10,
184,DGB금융지주,"5,640",30,-0.53%,"5,000","9,540","169,146",45.44,"518,926",3.06,7.31,
185,다우기술,"21,250",150,+0.71%,500,"9,534","44,867",23.47,"165,932",7.40,14.62,
186,현대오토에버,"45,000",600,+1.35%,500,"9,450","21,000",1.13,"133,727",16.97,11.71,
187,JB금융지주,"4,735",25,-0.53%,"5,000","9,327","196,983",39.10,"213,950",2.70,10.36,
188,대상,"26,650",350,-1.30%,"1,000","9,234","34,648",18.15,"187,997",7.00,11.17,
189,삼양식품,"119,500","2,000",-1.65%,"5,000","9,002","7,533",8.03,"35,219",12.77,23.15,
190,금호타이어,"3,120",165,+5.58%,"5,000","8,963","287,260",4.04,"1,246,991",-9.90,-3.30,
191,롯데리츠,"5,200",40,-0.76%,500,"8,942","171,969",8.77,"200,698",60.47,1.64,
192,일진다이아,"62,600",400,-0.63%,"1,000","8,891","14,203",2.25,"303,738",68.34,8.06,
193,코리안리,"7,360",50,+0.68%,500,"8,859","120,369",27.58,"427,770",5.33,8.04,
194,TRUE 코스피 양매도 5% OTM ETN,"8,865",80,-0.89%,0,"8,767","98,900",0.00,"8,927",N/A,N/A,
195,오리온홀딩스,"13,750",450,+3.38%,500,"8,614","62,645",10.19,"248,512",14.78,2.55,
196,SK가스,"93,300",500,+0.54%,"5,000","8,612","9,230",7.97,"14,100",3.31,9.85,
197,GKL,"13,850",50,+0.36%,500,"8,567","61,856",6.92,"475,724",10.93,12.62,
198,동아에스티,"98,900",200,-0.20%,"5,000","8,351","8,444",26.21,"32,709",8.59,11.58,
199,한섬,"33,750",50,-0.15%,500,"8,313","24,630",28.19,"150,586",10.21,8.37,
200,KODEX 단기채권PLUS,"102,685",5,0.00%,0,"8,300","8,083",0.00,"6,198",N/A,N/A,
